date,NZD exchange rate
1993-7-30,1.824817518248175
1993-8-30,1.8083182640144664
1993-9-29,1.8115942028985506
1993-10-30,1.8083182640144664
1993-11-29,1.824817518248175
1993-12-30,1.7985611510791366
1994-1-30,1.7761989342806397
1994-2-27,1.7391304347826089
1994-3-30,1.7482517482517483
1994-4-29,1.7574692442882252
1994-5-30,1.7123287671232879
1994-6-29,1.6891891891891893
1994-7-30,1.663893510815308
1994-8-30,1.6611295681063123
1994-9-29,1.658374792703151
1994-10-30,1.6420361247947455
1994-11-29,1.6103059581320451
1994-12-30,1.5698587127158556
1995-1-30,1.5600624024960998
1995-2-27,1.574803149606299
1995-3-30,1.547987616099071
1995-4-29,1.497005988023952
1995-5-30,1.497005988023952
1995-6-29,1.4925373134328357
1995-7-30,1.4836795252225519
1995-8-30,1.519756838905775
1995-9-29,1.524390243902439
1995-10-30,1.5174506828528072
1995-11-29,1.5313935681470137
1995-12-30,1.5360983102918586
1996-1-30,1.51285930408472
1996-2-28,1.4814814814814814
1996-3-30,1.4705882352941175
1996-4-29,1.4662756598240467
1996-5-30,1.4577259475218658
1996-6-29,1.4792899408284024
1996-7-30,1.4492753623188408
1996-8-30,1.451378809869376
1996-9-29,1.4367816091954024
1996-10-30,1.4265335235378032
1996-11-29,1.4084507042253522
1996-12-30,1.41643059490085
1997-1-30,1.4245014245014247
1997-2-27,1.4471780028943562
1997-3-30,1.4326647564469914
1997-4-29,1.4450867052023122
1997-5-30,1.4450867052023122
1997-6-29,1.4534883720930234
1997-7-30,1.510574018126888
1997-8-30,1.5552099533437014
1997-9-29,1.572327044025157
1997-10-30,1.5698587127158556
1997-11-29,1.6025641025641026
1997-12-30,1.6863406408094437
1998-1-30,1.7271157167530227
1998-2-27,1.718213058419244
1998-3-30,1.7452006980802794
1998-4-29,1.8083182640144664
1998-5-30,1.8552875695732838
1998-6-29,1.9607843137254901
1998-7-30,1.9267822736030829
1998-8-30,1.9920318725099602
1998-9-29,1.9841269841269842
1998-10-30,1.9157088122605364
1998-11-29,1.8726591760299625
1998-12-30,1.9120458891013383
1999-1-30,1.8552875695732838
1999-2-27,1.838235294117647
1999-3-30,1.8796992481203008
1999-4-29,1.8450184501845017
1999-5-30,1.8083182640144664
1999-6-29,1.8761726078799248
1999-7-30,1.8975332068311195
1999-8-30,1.8975332068311195
1999-9-29,1.9157088122605364
1999-10-30,1.941747572815534
1999-11-29,1.953125
1999-12-30,1.9646365422396856
